id,label
1,0.00000
2,1.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,1.00000
8,1.00000
9,1.00000
10,1.00000
11,0.00000
12,0.00000
13,1.00000
14,0.00000
15,1.00000
16,1.00000
17,0.00000
18,1.00000
19,0.00000
20,1.00000
21,1.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,1.00000
29,1.00000
30,0.00000
31,1.00000
32,1.00000
33,1.00000
34,0.00000
35,1.00000
36,0.00000
37,0.00000
38,0.00000
39,1.00000
40,1.00000
41,1.00000
42,0.00000
43,0.00000
44,1.00000
45,1.00000
46,1.00000
47,1.00000
48,0.00000
49,0.00000
50,1.00000
51,1.00000
52,1.00000
53,1.00000
54,1.00000
55,1.00000
56,0.00000
57,1.00000
58,1.00000
59,1.00000
60,1.00000
61,0.00000
62,0.00000
63,1.00000
64,1.00000
65,0.00000
66,0.00000
67,0.00000
68,1.00000
69,0.00000
70,1.00000
71,1.00000
72,0.00000
73,0.00000
74,0.00000
75,1.00000
76,0.00000
77,1.00000
78,1.00000
79,1.00000
80,1.00000
81,1.00000
82,1.00000
83,1.00000
84,1.00000
85,1.00000
86,1.00000
87,1.00000
88,1.00000
89,1.00000
90,1.00000
91,0.00000
92,1.00000
93,1.00000
94,0.00000
95,1.00000
96,1.00000
97,0.00000
98,1.00000
99,0.00000
100,1.00000
101,0.00000
102,1.00000
103,1.00000
104,1.00000
105,1.00000
106,0.00000
107,0.00000
108,1.00000
109,0.00000
110,0.00000
111,1.00000
112,1.00000
113,0.00000
114,1.00000
115,0.00000
116,0.00000
117,0.00000
118,0.00000
119,1.00000
120,1.00000
121,0.00000
122,0.00000
123,1.00000
124,1.00000
125,0.00000
126,1.00000
127,0.00000
128,0.00000
129,0.00000
130,0.00000
131,0.00000
132,0.00000
133,1.00000
134,0.00000
135,1.00000
136,0.00000
137,1.00000
138,0.00000
139,1.00000
140,0.00000
141,1.00000
142,0.00000
